corporate_identification_number,company_name,registered_state,date,rank
U85300AS2020PTC019881,JHSK PHARMACEUTICALS PRIVATE LIMITED,Assam,2020-01-29,3
U80904AS2020PTC019879,BIPROZ SOLUTIONS PRIVATE LIMITED,Assam,2020-01-29,3
U72900AS2020PTC019878,GRISIAL DEVELOPERS PRIVATE LIMITED,Assam,2020-01-29,3
U72900AS2020PTC019880,FIDEM IT SERVICES PRIVATE LIMITED,Assam,2020-01-29,3
U85100AS2020PTC019874,NEW LIFE HOSPITAL AND RESEARCH INSTITUTEPRIVATE LIMITED,Assam,2020-01-28,4
U36999AS2020PTC019876,CREATION HOME DECOR AND FURNISHINGPRIVATE LIMITED,Assam,2020-01-28,4
U65999AS2020PLN019877,JEEVAN SATHI GRAMIN VIKASH NIDHI LIMITED,Assam,2020-01-28,4
U45203AS2020PTC019875,NILSAMUDRA ASSOCIATES PRIVATE LIMITED,Assam,2020-01-28,4
U70109AS2020PTC019873,DEVAYA NAMO PRIVATE LIMITED,Assam,2020-01-27,5
U36994AS2020PTC019872,UDBHRITI PAVERS BLOCK PRIVATE LIMITED,Assam,2020-01-27,5
U36999AS2020PTC019871,MEGASTAR JEWELS PRIVATE LIMITED,Assam,2020-01-27,5
U64201AS2020PTC019869,THRUCOM SERVICES PRIVATE LIMITED,Assam,2020-01-27,5
U65990AS2020PLN019870,UJJALA AMRIT NIDHI LIMITED,Assam,2020-01-27,5
U01100BR2020PTC045279,VAIDIKI DAIRY AND AGRO PRODUCTS PRIVATELIMITED,Bihar,2020-01-31,1
U24110BR2020PTC045274,DREAMS ACHIEVER MEDICARE PRIVATE LIMITED,Bihar,2020-01-31,1
U71309BR2020OPC045281,INDURAM TENT HOUSE & EVENT MANAGEMENT(OPC) PRIVATE LIMITED,Bihar,2020-01-31,1
U70109BR2020PTC045273,VIHAS INFRASTRUCTURE PRIVATE LIMITED,Bihar,2020-01-31,1
U70109BR2020PTC045275,PARI DEVELOPERS PRIVATE LIMITED,Bihar,2020-01-31,1
U70109BR2020PTC045283,YOGEETA INTERIOR PRIVATE LIMITED,Bihar,2020-01-31,1
U31909BR2020OPC045284,ANUBHAV BUSINESS (OPC) PRIVATE LIMITED,Bihar,2020-01-31,1
U31909BR2020OPC045292,BHOLERAJESH ELECTRONICS ITEMS (OPC)PRIVATE LIMITED,Bihar,2020-01-31,1
U26990BR2020PTC045288,NIRUM BRIEDER INDUSTRIES PRIVATE LIMITED,Bihar,2020-01-31,1
U51909BR2020PTC045276,SAMSKRITI HEALTHCARE PRIVATE LIMITED,Bihar,2020-01-31,1
U15326BR2020OPC045269,GYANSU OIL MILLS (OPC) PRIVATE LIMITED,Bihar,2020-01-31,1
U85300BR2020NPL045289,YOUTH INDIA SOCIAL WELFARE FOUNDATION,Bihar,2020-01-31,1
U85300BR2020NPL045291,PUNARUTHAN INNOVATIONS FOUNDATION,Bihar,2020-01-31,1
